(월)
학년-반, 1교시, 2교시, 3교시, 4교시, 5교시, 6교시, 7교시, 8교시
===============================================================
=T("1-1"),국사,cp,수재,수학,체육,미술,기1,
=T("1-2"),지리,cp,생2,수학,과3,일사,국어,
=T("1-3"),영재,cp,지리,수학,국사,국어,도덕,
=T("1-4"),국어,cp,과1,수학,기1,국사,생1,
=T("1-5"),수재,cp,기3,영어,국어,수학,생2,
=T("1-6"),도덕,cp,국어,영어,기3,수학,과3,
=T("1-7"),기3,cp,체육,영어,음악,수학,국어,
=T("1-8"),국어,cp,지리,영어,일사,수학,체육,
=T("1-9"),국재,cp,도덕,수재,국사,영어,지리,
=T("1-10"),국사,cp,국어,체육,기2,영어,기3,
=T("1-11"),기2,cp,국사,생1,일사,영어,과2,
=T("1-12"),국어,cp,기1,영재,도덕,영어,국재,
=T("1-13"),기1,cp,체육,기2,인성,영어,국어,
=T("1-14"),과3,cp,수학,과1,국어,체육,지리,
=T("1-15"),국어,cp,지리,과2,체육,인성,음악,
=T("1-16"),일사,cp,국어,체육,국재,과2,과3,
=T("1-17"),지리,cp,국사,미술,생2,생1,수학,
=T("2-1"),문법,영1,cp,사문,체육,문학,중1,
=T("2-2"),사문,영1,cp,경제,문학,윤리,정보,
=T("2-3"),문학,영1,cp,문법,수1,사문,회화,
=T("2-4"),근현,영1,cp,수1,회화,중1,체육,
=T("2-5"),정보,문학,cp,영1,윤리,수1,근현,
=T("2-6"),수1,윤리,cp,영1,정보,근현,문법,
=T("2-7"),불1,근현,cp,영1,문학,문법,사문,
=T("2-8"),생1,중1,cp,영1,미적,지1,문학,
=T("2-9"),문학,회화,cp,중1,생1,영1,미적,
=T("2-10"),미적,수1,cp,문학,지1,영1,화1,
=T("2-11"),화1,수1,cp,미적,문학,영1,회화,
=T("2-12"),지1,문학,cp,수1,화1,영1,물1,
=T("2-13"),문학,화1,cp,수1,지1,생1,영1,
=T("2-14"),미적,물1,cp,문학,불1,수1,영1,
=T("2-15"),회화,불1,cp,물1,문학,수1,영1,
=T("2-16"),불1,지1,cp,생1,회화,수1,영1,
=T("3-1"),작문,세사,환경,cp,한지,한문,실수,
=T("3-2"),영2,중2,지1,cp,작문,세사,한지,
=T("3-3"),한문,한지,세사,cp,영2,불2,작문,
=T("3-4"),중2,생1,체육,cp,한지,영2,한문,
=T("3-5"),정치,실수,영2,cp,생1,한지,중2,
=T("3-6"),한지,실수,정치,cp,불2,작문,영2,
=T("3-7"),지1,정보,수2,cp,근현,영2,환경,
=T("3-8"),영2,작문,수2,cp,지1,윤리,화2,
=T("3-9"),화2,근현,수2,cp,한문,영2,작문,
=T("3-10"),정보,영2,한문,cp,체육,수2,근현,
=T("3-11"),화2,근현,생2,cp,윤리,수2,영2,
=T("3-12"),작문,윤리,영2,cp,근현,수2,정보,
=T("3-13"),근현,정보,물2,cp,영2,환경,한문,
=T("3-14"),물2,화2,체육,cp,환경,영2,작문,
=T("3-15"),윤리,영2,작문,cp,물2,정보,화2,

(화)
학년-반, 1교시, 2교시, 3교시, 4교시, 5교시, 6교시, 7교시, 8교시
===============================================================
=T("1-1"),국재,인성,지리,음악,국어,수학,영어,
=T("1-2"),국사,도덕,체육,국어,과2,수학,영어,
=T("1-3"),과2,국어,기2,과3,생2,수학,영어,
=T("1-4"),도덕,일사,기3,체육,기2,수학,영어,
=T("1-5"),지리,수학,국어,국사,체육,영어,인성,
=T("1-6"),일사,수학,국사,과1,영재,영어,체육,
=T("1-7"),기1,수학,지리,생1,국어,영어,수재,
=T("1-8"),생2,수학,과3,기1,미술,영어,국어,
=T("1-9"),국어,영어,수학,미술,음악,생1,과2,
=T("1-10"),음악,영어,수학,인성,국어,국재,일사,
=T("1-11"),영재,영어,수학,체육,수재,기1,국어,
=T("1-12"),국어,영어,수학,국사,과2,미술,기2,
=T("1-13"),지리,미술,영어,국사,도덕,과1,수학,
=T("1-14"),과2,생2,영어,국어,지리,국사,수학,
=T("1-15"),생1,기1,영어,국재,과1,기3,수학,
=T("1-16"),국어,수재,영어,도덕,기3,지리,수학,
=T("1-17"),기2,국어,영어,일사,과3,과2,수학,
=T("2-1"),회화,윤리,문법,중1,경제,정보,수1,
=T("2-2"),수1,사문,윤리,문학,체육,회화,문법,
=T("2-3"),사문,회화,문학,수1,문법,불1,경제,
=T("2-4"),중1,근현,수1,정보,윤리,사문,문학,
=T("2-5"),문법,문학,사문,체육,회화,중1,수1,
=T("2-6"),문학,사문,체육,불1,수1,회화,근현,
=T("2-7"),정보,수1,회화,사문,근현,문학,윤리,
=T("2-8"),고수,고수,화1,문학,물1,생1,중1,
=T("2-9"),화1,물1,고수,고수,수1,회화,지1,
=T("2-10"),수1,지1,물1,문학,회화,중1,체육,
=T("2-11"),수1,화1,중1,생1,문학,물1,미적,
=T("2-12"),불1,생1,문학,미적,회화,수1,지1,
=T("2-13"),지1,회화,영1,물1,화1,수1,문학,
=T("2-14"),생1,수1,영1,불1,지1,체육,화1,
=T("2-15"),문학,수1,영1,지1,체육,화1,회화,
=T("2-16"),미적,수1,영1,회화,문학,생1,물1,
=T("3-1"),작문,체육,지1,영2,세사,독해,중2,
=T("3-2"),종교,종교,영2,작문,지1,한지,세사,
=T("3-3"),한지,불2,세사,독해,한문,작문,영2,
=T("3-4"),영2,환경,작문,중2,체육,독해,정치,
